what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1267763969312
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1267763969484
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1267763969640
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1267763969796
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1267763969953
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1267763970125
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1267763970281
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1267763970484
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1267763970703
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1267763972781
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1267763976140
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1267764034203
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1267764053953
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1267764054156
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1267764056000
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267764113875
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267764116875
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1267764117343
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267764139984
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267764270296
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267764321078
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267764321515
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267764324125
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267764325703
started,bundle,org.eclipse.mylyn.ide.ant,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.ide.ant,1267764325812
